State,Areaname,2003Rural-urbanContinuumCode,2003UrbanInfluenceCode,2013Rural-urbanContinuumCode,2013UrbanInfluenceCode,"Lessthanahighschooldiploma,1970","Highschooldiplomaonly,1970","Percentofadultswithlessthanahighschooldiploma,1970","Percentofadultswithlessthanahighschooldiploma,2010-2014","Percentofadultswithahighschooldiplomaonly,2010-2014","Percentofadultscompletingsomecollegeorassociate'sdegree,2010-2014","Percentofadultswithabachelor'sdegreeorhigher,2010-2014"
AR,CrawfordCounty,2,2,2,2,9143,3775,63.6,15.5,39.8,30.4,14.3
AR,CrittendenCounty,1,1,1,1,15595,4744,68.8,19.5,36.4,29.5,14.6
AR,CrossCounty,6,4,6,4,7237,1969,72.4,21.5,45.8,20.4,12.4
AR,DallasCounty,6,6,6,6,3992,1305,68,16.1,53.1,19,11.8
AR,DeshaCounty,6,6,6,6,6532,1904,68.5,22.3,41.9,24.2,11.6
AR,DrewCounty,7,11,6,6,5127,1424,65.4,17.1,37.2,25.4,20.4
AR,FaulknerCounty,2,2,2,2,8131,4477,51.5,10.3,31.7,30.7,27.3
AR,FranklinCounty,2,2,6,6,4324,1742,65,16.8,40.6,30,12.6
AR,FultonCounty,9,9,9,9,3521,910,73,15.5,44.2,29.6,10.7
AR,GarlandCounty,3,2,3,2,18595,9900,55.1,13.1,32.5,33.4,21
AR,GrantCounty,2,2,2,2,3651,1437,65.7,14.3,41.8,28.6,15.3
AR,GreeneCounty,6,5,4,5,10259,2894,71.2,16.2,42.8,26.1,14.9
AR,HempsteadCounty,6,5,6,6,7229,3008,63.3,19.6,36.3,30.1,14
AR,HotSpringCounty,6,6,6,5,7965,3453,63.1,15.6,41.3,29,14.1
AR,HowardCounty,7,9,6,6,4556,1667,65.6,22.4,35.8,27.4,14.4
AR,IndependenceCounty,7,8,7,8,8823,3291,64.9,18,39,28.1,14.8
AR,IzardCounty,9,10,9,10,3470,959,72.8,18.7,39.1,29.9,12.3
AR,JacksonCounty,6,6,6,6,8274,2273,71.6,23.1,46.6,22.3,7.9
AR,JeffersonCounty,3,2,3,2,24161,12191,56.1,15.7,37.5,29.7,17.1
AR,JohnsonCounty,6,6,7,9,5539,1656,67,21.7,41.2,20.8,16.3
AR,LafayetteCounty,8,7,8,7,3769,1243,68.4,22.3,43.6,21.7,12.4
AR,LawrenceCounty,6,6,6,6,6811,1845,72.1,18.9,44,25.3,11.8
AR,LeeCounty,6,4,7,9,7120,1067,79.7,31.7,40.6,21.3,6.4
AR,LincolnCounty,3,2,3,2,4991,1251,75,25,45.8,20.7,8.5
AR,LittleRiverCounty,6,6,3,2,3819,1478,64.1,14.9,39.7,33.6,11.8
AR,LoganCounty,6,6,6,6,7054,2235,69.5,18,42.2,28,11.8
AR,LonokeCounty,2,2,2,2,9052,3726,63.8,12.8,34.8,33.7,18.7
AR,MadisonCounty,2,2,2,2,4200,968,74.2,23.3,45.4,21.6,9.7
AR,MarionCounty,9,10,9,10,2973,1236,64.3,15.4,41.2,30.6,12.8
AR,MillerCounty,3,2,3,2,10932,4911,59.2,15.4,41,30.8,12.7
AR,MississippiCounty,4,5,4,3,21171,6221,68.8,21.4,36.8,28.7,13.1
AR,MonroeCounty,7,9,7,9,5972,1414,74,24.1,38.3,25.6,12.1
AR,MontgomeryCounty,8,7,8,7,2393,906,65.7,18.3,37.6,30.5,13.6
AR,NevadaCounty,7,8,7,9,4230,1336,69.4,18,39.9,27.8,14.2
AR,NewtonCounty,9,8,9,8,2452,664,72.8,19.1,44.7,24.9,11.3
AR,OuachitaCounty,7,8,7,8,10773,4567,61.6,14.5,42.1,27.5,15.9
AR,PerryCounty,2,2,2,2,2344,684,71.8,16.8,42,26.8,14.4
AR,PhillipsCounty,7,8,6,3,14397,3352,73,25.2,29.7,32.2,12.9
AR,PikeCounty,9,10,9,10,3740,1216,70,19.7,36.5,31,12.8
AR,PoinsettCounty,3,2,3,2,10909,2332,76.4,24.5,42.4,25.1,8
AR,PolkCounty,7,11,7,11,5313,2063,65,14.7,38,34.8,12.6
AR,PopeCounty,5,8,5,8,8887,4001,58.2,17.2,33.3,28.4,21.1
AR,PrairieCounty,8,7,8,7,4101,1244,71.2,20.7,43.8,25.2,10.4
AR,PulaskiCounty,2,2,2,2,64328,53123,41.5,10.2,27.6,30.1,32
AR,RandolphCounty,7,11,7,9,5698,1354,75.3,18.4,38.1,29,14.4
AR,St.FrancisCounty,6,3,6,3,10224,2775,69.4,22.7,37.3,28.3,11.8
AR,SalineCounty,2,2,2,2,11885,5876,59.1,11.2,34.3,31.5,23
AR,ScottCounty,6,6,6,6,3603,1016,72.7,24.2,36.8,26.8,12.2
AR,SearcyCounty,9,10,9,10,3500,745,76.1,20.7,39.3,26.1,13.9
AR,SebastianCounty,2,2,2,2,22280,13929,50,17.6,32,30.7,19.7
AR,SevierCounty,7,11,6,6,4072,1709,61.8,32,33,26.8,8.3
AR,SharpCounty,7,9,7,9,3573,1147,67.2,18.5,42.8,28,10.6
AR,StoneCounty,9,9,9,9,3204,611,78.9,20,37.2,26.6,16.3
AR,UnionCounty,5,8,7,8,14098,7950,53.5,17.1,36.5,29,17.4
AR,VanBurenCounty,8,7,8,6,3643,1109,70.9,18.7,41.8,27.2,12.2
AR,WashingtonCounty,2,2,2,2,19904,10124,51,17.1,28.1,25.5,29.3
AR,WhiteCounty,4,5,4,5,14432,4780,66.3,17.2,36.7,27.2,19
AR,WoodruffCounty,9,9,9,10,4588,1065,73.7,29.5,42.5,19,9
AR,YellCounty,6,5,6,5,5537,2209,65.8,25.2,41.4,21.5,11.9
CA,California,,,,,4062367,3566578,37.4,18.5,20.7,29.8,31
CA,AlamedaCounty,1,1,1,1,217589,197371,37,13.3,18.9,25.7,42.1
CA,AlpineCounty,8,4,8,4,101,98,38.3,8.6,29.3,31.6,30.5
CA,AmadorCounty,6,4,6,4,2911,2314,41.4,11.6,27.5,40.4,20.5
CA,ButteCounty,3,2,3,2,24482,17743,42.9,12,23.5,39.4,25
CA,CalaverasCounty,6,6,6,6,4164,2721,48.1,7.5,27,44.4,21.1
CA,ColusaCounty,6,4,6,4,3104,2188,44.3,31.3,24.5,29.8,14.3
CA,ContraCostaCounty,1,1,1,1,96353,101602,32.1,11.1,18.9,30.6,39.4
CA,DelNorteCounty,7,8,7,8,3970,2592,50,18,31.7,34.3,16
CA,ElDoradoCounty,1,1,1,1,9251,9356,36.3,7.4,21.9,38.6,32.1
CA,FresnoCounty,2,2,2,2,100900,59798,47.3,26.8,22.7,31.1,19.5
CA,GlennCounty,6,6,6,6,4673,3460,46.4,24.7,27.8,31.9,15.7
CA,HumboldtCounty,5,8,5,8,23271,16824,44.3,9.7,25.9,36.9,27.5
CA,ImperialCounty,3,2,3,2,20636,8924,56.9,34.8,21.9,29.9,13.4
CA,InyoCounty,7,8,7,11,3585,3621,38.3,11.8,32.8,33.9,21.4
CA,KernCounty,2,2,2,2,82559,49872,48.3,27,26.4,31.4,15.2
CA,KingsCounty,3,2,3,2,15962,9352,50.9,29.1,25.1,33.4,12.5
CA,LakeCounty,4,5,4,5,6696,4334,49.6,15.2,28.3,40.3,16.2
CA,LassenCounty,6,6,7,8,4150,3422,43.3,20.6,27.4,39.2,12.9
CA,LosAngelesCounty,1,1,1,1,1506170,1294477,38,23.2,20.5,26.4,29.9
